time_s,Vout_V,iL_A,duty,Rload_ohm
0.018760,5.001175,0.493683,0.41932,10.00
0.018770,5.001542,0.493703,0.41860,10.00
0.018780,5.001891,0.493100,0.41824,10.00
0.018790,5.002201,0.492189,0.41808,10.00
0.018800,5.002417,0.491150,0.41803,10.00
0.018810,5.002395,0.490292,0.41829,10.00
0.018820,5.002341,0.489682,0.41846,10.00
0.018830,5.002265,0.489237,0.41857,10.00
0.018840,5.002172,0.488905,0.41864,10.00
0.018850,5.001856,0.488656,0.41869,10.00
0.018860,5.000709,0.489367,0.41979,10.00
0.018870,4.999629,0.491068,0.42033,10.00
0.018880,4.998645,0.493250,0.42053,10.00
0.018890,4.997771,0.495620,0.42056,10.00
0.018900,4.996975,0.498008,0.42048,10.00
0.018910,4.996158,0.500465,0.42052,10.00
0.018920,4.995458,0.502946,0.42044,10.00
0.018930,4.994871,0.505347,0.42031,10.00
0.018940,4.994392,0.507610,0.42015,10.00
0.018950,4.994319,0.509708,0.41999,10.00
0.018960,4.995529,0.510328,0.41828,10.00
0.018970,4.996716,0.509408,0.41738,10.00
0.018980,4.997832,0.507675,0.41697,10.00
0.018990,4.998852,0.505553,0.41682,10.00
0.019000,4.999696,0.503287,0.41683,10.00
0.019010,5.000157,0.501321,0.41728,10.00
0.019020,5.000538,0.499745,0.41758,10.00
0.019030,5.000853,0.498436,0.41779,10.00
0.019040,5.001113,0.497318,0.41795,10.00
0.019050,5.001426,0.496344,0.41807,10.00
0.019060,5.002087,0.495058,0.41767,10.00
0.019070,5.002676,0.493421,0.41751,10.00
0.019080,5.003185,0.491658,0.41749,10.00
0.019090,5.003610,0.489896,0.41755,10.00
0.019100,5.003872,0.488206,0.41765,10.00
0.019110,5.003731,0.486982,0.41819,10.00
0.019120,5.003550,0.486259,0.41851,10.00
0.019130,5.003346,0.485844,0.41870,10.00
0.019140,5.003129,0.485622,0.41882,10.00
0.019150,5.003028,0.485524,0.41889,10.00
0.019160,5.003397,0.484992,0.41831,10.00
0.019170,5.003726,0.483976,0.41804,10.00
0.019180,5.004001,0.482747,0.41795,10.00
0.019190,5.004217,0.481457,0.41795,10.00
0.019200,5.004064,0.480195,0.41800,10.00
0.019210,5.002648,0.480326,0.41964,10.00
0.019220,5.001287,0.481935,0.42047,10.00
0.019230,5.000029,0.484299,0.42083,10.00
0.019240,4.998893,0.486997,0.42092,10.00
0.019250,4.998184,0.489786,0.42087,10.00
0.019260,4.998754,0.491272,0.41924,10.00
0.019270,4.999347,0.491321,0.41836,10.00
0.019280,4.999917,0.490591,0.41792,10.00
0.019290,5.000439,0.489467,0.41772,10.00
0.019300,5.000746,0.488170,0.41766,10.00
0.019310,5.000382,0.487495,0.41847,10.00
0.019320,5.000010,0.487545,0.41891,10.00
0.019330,4.999653,0.487988,0.41913,10.00
0.019340,4.999324,0.488632,0.41923,10.00
0.019350,4.998892,0.489363,0.41925,10.00
0.019360,4.997961,0.490702,0.41993,10.00
0.019370,4.997114,0.492639,0.42022,10.00
0.019380,4.996365,0.494828,0.42030,10.00
0.019390,4.995722,0.497073,0.42025,10.00
0.019400,4.995289,0.499264,0.42014,10.00
0.019410,4.995371,0.500884,0.41947,10.00
0.019420,4.995508,0.501882,0.41906,10.00
0.019430,4.995678,0.502499,0.41882,10.00
0.019440,4.995869,0.502876,0.41867,10.00
0.019450,4.996196,0.503099,0.41858,10.00
0.019460,4.997018,0.502687,0.41789,10.00
0.019470,4.997799,0.501645,0.41756,10.00
0.019480,4.998520,0.500292,0.41743,10.00
0.019490,4.999172,0.498810,0.41741,10.00
0.019500,4.999635,0.497306,0.41746,10.00
0.019510,4.999570,0.496339,0.41814,10.00
0.019520,4.999479,0.495967,0.41852,10.00
0.019530,4.999382,0.495928,0.41873,10.00
0.019540,4.999288,0.496068,0.41883,10.00
0.019550,4.999172,0.496300,0.41888,10.00
0.019560,4.998946,0.496705,0.41906,10.00
0.019570,4.998743,0.497261,0.41913,10.00
0.019580,4.998568,0.497877,0.41915,10.00
0.019590,4.998423,0.498501,0.41913,10.00
0.019600,4.998315,0.499104,0.41910,10.00
0.019610,4.998271,0.499630,0.41901,10.00
0.019620,4.998248,0.500070,0.41895,10.00
0.019630,4.998243,0.500443,0.41890,10.00
0.019640,4.998254,0.500763,0.41886,10.00
0.019650,4.998429,0.501037,0.41882,10.00
0.019660,4.999204,0.500627,0.41803,10.00
0.019670,4.999937,0.499509,0.41765,10.00
0.019680,5.000604,0.498043,0.41749,10.00
0.019690,5.001198,0.496438,0.41747,10.00
0.019700,5.001849,0.494816,0.41752,10.00
0.019710,5.002944,0.492674,0.41694,10.00
0.019720,5.003921,0.490024,0.41672,10.00
0.019730,5.004768,0.487198,0.41671,10.00
0.019740,5.005482,0.484386,0.41682,10.00
0.019750,5.005816,0.481692,0.41698,10.00
0.019760,5.005045,0.480248,0.41844,10.00
0.019770,5.004250,0.480130,0.41924,10.00
0.019780,5.003476,0.480748,0.41965,10.00
0.019790,5.002744,0.481757,0.41984,10.00
0.019800,5.001865,0.482955,0.41989,10.00
0.019810,5.000258,0.485085,0.42090,10.00
0.019820,4.998782,0.488119,0.42133,10.00
0.019830,4.997463,0.491541,0.42143,10.00
0.019840,4.996308,0.495053,0.42135,10.00
0.019850,4.995337,0.498487,0.42118,10.00
0.019860,4.994608,0.501660,0.42085,10.00
0.019870,4.994017,0.504520,0.42056,10.00
0.019880,4.993551,0.507098,0.42031,10.00
0.019890,4.993197,0.509419,0.42008,10.00
0.019900,4.993264,0.511501,0.41987,10.00
0.019910,4.994667,0.511999,0.41807,10.00
0.019920,4.996039,0.510865,0.41713,10.00
0.019930,4.997327,0.508872,0.41670,10.00
0.019940,4.998507,0.506470,0.41656,10.00
0.019950,4.999510,0.503920,0.41658,10.00
0.019960,5.000172,0.501614,0.41697,10.00
0.019970,5.000736,0.499647,0.41726,10.00
0.019980,5.001214,0.497929,0.41748,10.00
0.019990,5.001619,0.496405,0.41765,10.00
0.020000,5.001755,0.495042,0.41780,10.00
0.020010,5.001046,0.494674,0.41895,10.00
0.020020,5.000354,0.495326,0.41954,10.00
0.020030,4.999710,0.496508,0.41982,10.00
0.020040,4.999131,0.497937,0.41991,10.00
0.020050,4.998577,0.499449,0.41991,10.00
0.020060,4.997921,0.501140,0.42007,10.00
0.020070,4.997349,0.502967,0.42009,10.00
0.020080,4.996863,0.504799,0.42003,10.00
0.020090,4.996461,0.506561,0.41992,10.00
0.020100,4.996132,0.508216,0.41980,10.00
0.020110,4.995853,0.509767,0.41971,10.00
0.020120,4.995643,0.511211,0.41960,10.00
0.020130,4.995497,0.512533,0.41949,10.00
0.020140,4.995408,0.513729,0.41938,10.00
0.020150,4.995608,0.514800,0.41928,10.00
0.020160,4.996779,0.514738,0.41798,10.00
0.020170,4.997909,0.513502,0.41733,10.00
0.020180,4.998958,0.511662,0.41704,10.00
0.020190,4.999912,0.509550,0.41696,10.00
0.020200,5.000579,0.507356,0.41700,10.00
0.020210,5.000430,0.505971,0.41803,10.00
0.020220,5.000246,0.505490,0.41861,10.00
0.020230,5.000056,0.505513,0.41891,10.00
0.020240,4.999875,0.505805,0.41907,10.00
0.020250,4.999760,0.506231,0.41913,10.00
0.020260,4.999849,0.506510,0.41891,10.00
0.020270,4.999945,0.506589,0.41879,10.00
0.020280,5.000041,0.506554,0.41872,10.00
0.020290,5.000133,0.506457,0.41869,10.00
0.020300,5.000411,0.506326,0.41868,10.00
0.020310,5.001426,0.505364,0.41771,10.00
0.020320,5.002368,0.503545,0.41725,10.00
0.020330,5.003211,0.501326,0.41709,10.00
0.020340,5.003945,0.498973,0.41709,10.00
0.020350,5.004351,0.496634,0.41718,10.00
0.020360,5.003802,0.495322,0.41842,10.00
0.020370,5.003229,0.495122,0.41910,10.00
0.020380,5.002667,0.495540,0.41945,10.00
0.020390,5.002136,0.496286,0.41961,10.00
0.020400,5.001732,0.497190,0.41967,10.00
0.020410,5.001706,0.497790,0.41923,10.00
0.020420,5.001696,0.498013,0.41898,10.00
0.020430,5.001690,0.498029,0.41885,10.00
0.020440,5.001681,0.497937,0.41878,10.00
0.020450,5.001308,0.497793,0.41875,10.00
0.020460,4.999529,0.499161,0.42056,10.00
0.020470,4.997868,0.502130,0.42142,10.00
0.020480,4.996372,0.505860,0.42174,10.00
0.020490,4.995061,0.509867,0.42176,10.00
0.020500,4.994278,0.513874,0.42162,10.00
0.020510,4.994999,0.516283,0.41968,10.00
0.020520,4.995776,0.516945,0.41860,10.00
0.020530,4.996550,0.516626,0.41803,10.00
0.020540,4.997291,0.515771,0.41775,10.00
0.020550,4.998014,0.514646,0.41764,10.00
0.020560,4.998807,0.513261,0.41746,10.00
0.020570,4.999529,0.511700,0.41742,10.00
0.020580,5.000175,0.510091,0.41746,10.00
0.020590,5.000745,0.508507,0.41754,10.00
0.020600,5.001357,0.506990,0.41764,10.00
0.020610,5.002348,0.505071,0.41717,10.00
0.020620,5.003235,0.502737,0.41700,10.00
0.020630,5.004007,0.500265,0.41700,10.00
0.020640,5.004664,0.497810,0.41710,10.00
0.020650,5.004974,0.495459,0.41724,10.00
0.020660,5.004270,0.494252,0.41859,10.00
0.020670,5.003549,0.494258,0.41932,10.00
0.020680,5.002851,0.494930,0.41969,10.00
0.020690,5.002198,0.495949,0.41985,10.00
0.020700,5.001718,0.497129,0.41989,10.00
0.020710,5.001765,0.497849,0.41926,10.00
0.020720,5.001828,0.498024,0.41892,10.00
0.020730,5.001890,0.497904,0.41873,10.00
